,state,date,m50,cases,deaths,difference,new_cases
0,Alabama,2020-03-13,12.269,6,0,,
1,Alabama,2020-03-14,9.379,12,0,1.0,6.0
2,Alabama,2020-03-15,6.3839999999999995,23,0,1.0,11.0
3,Alabama,2020-03-16,9.49,29,0,1.0,6.0
4,Alabama,2020-03-17,8.263,39,0,1.0,10.0
5,Alabama,2020-03-18,7.662000000000001,51,0,1.0,12.0
6,Alabama,2020-03-19,7.8629999999999995,78,0,1.0,27.0
7,Alabama,2020-03-20,8.325,106,0,1.0,28.0
8,Alabama,2020-03-21,5.233,131,0,1.0,25.0
9,Alabama,2020-03-22,2.903,157,0,1.0,26.0
10,Alabama,2020-03-23,5.398,196,0,1.0,39.0
11,Alabama,2020-03-24,5.519,242,0,1.0,46.0
12,Alabama,2020-03-25,6.305,386,1,1.0,144.0
13,Alabama,2020-03-26,6.3629999999999995,538,3,1.0,152.0
14,Alabama,2020-03-27,6.956,639,4,1.0,101.0
15,Alabama,2020-03-28,4.772,720,4,1.0,81.0
16,Alabama,2020-03-29,2.739,830,5,1.0,110.0
17,Alabama,2020-03-30,5.148,947,11,1.0,117.0
18,Alabama,2020-03-31,4.49,999,14,1.0,52.0
19,Alabama,2020-04-01,5.619,1108,28,1.0,109.0
20,Alabama,2020-04-02,5.876,1270,32,1.0,162.0
21,Alabama,2020-04-03,6.624,1535,38,1.0,265.0
22,Alabama,2020-04-04,4.2410000000000005,1632,44,1.0,97.0
23,Alabama,2020-04-05,1.1909999999999998,1840,45,1.0,208.0
24,Alabama,2020-04-06,4.476,2005,53,1.0,165.0
25,Alabama,2020-04-07,4.3260000000000005,2197,64,1.0,192.0
26,Alabama,2020-04-08,4.519,2498,67,1.0,301.0
27,Alabama,2020-04-09,5.287000000000001,2838,78,1.0,340.0
28,Alabama,2020-04-10,6.14,3008,80,1.0,170.0
29,Alabama,2020-04-11,4.705,3262,93,1.0,254.0
30,Alabama,2020-04-12,0.076,3583,93,1.0,321.0
31,Alabama,2020-04-13,5.278,3805,104,1.0,222.0
32,Alabama,2020-04-14,5.441,3953,114,1.0,148.0
33,Alabama,2020-04-15,5.957999999999999,4241,123,1.0,288.0
34,Alabama,2020-04-16,6.255,4404,137,1.0,163.0
35,Alabama,2020-04-17,7.167000000000001,4572,151,1.0,168.0
36,Alabama,2020-04-18,5.252999999999999,4723,147,1.0,151.0
37,Alabama,2020-04-19,0.523,4903,160,1.0,180.0
38,Alabama,2020-04-21,6.577000000000001,5327,186,2.0,424.0
39,Alabama,2020-04-22,6.622999999999999,5610,201,1.0,283.0
40,Alabama,2020-04-23,4.9719999999999995,5832,197,1.0,222.0
41,Alabama,2020-04-24,7.584,6026,209,1.0,194.0
42,Alabama,2020-04-25,5.287000000000001,6213,213,1.0,187.0
43,Alabama,2020-04-26,3.543,6421,219,1.0,208.0
44,Alabama,2020-04-27,6.562,6539,228,1.0,118.0
45,Alabama,2020-04-28,6.961,6750,242,1.0,211.0
46,Alabama,2020-04-29,6.0120000000000005,6925,262,1.0,175.0
47,Alabama,2020-04-30,8.113999999999999,7068,272,1.0,143.0
48,Alabama,2020-05-01,9.946,7294,289,1.0,226.0
49,Alabama,2020-05-02,7.787000000000001,7611,288,1.0,317.0
50,Alabama,2020-05-03,6.562,7888,290,1.0,277.0
51,Alabama,2020-05-04,8.03,8112,298,1.0,224.0
52,Alabama,2020-05-05,8.695,8437,315,1.0,325.0
53,Alabama,2020-05-06,10.192,8691,343,1.0,254.0
54,Alabama,2020-05-07,9.17,9046,369,1.0,355.0
55,Alabama,2020-05-08,9.015,9385,383,1.0,339.0
56,Alabama,2020-05-09,8.331,9668,390,1.0,283.0
57,Alabama,2020-05-10,7.1160000000000005,9889,393,1.0,221.0
58,Alabama,2020-05-11,8.113,10164,403,1.0,275.0
59,Alabama,2020-05-12,9.253,10464,435,1.0,300.0
60,Alabama,2020-05-13,8.275,10700,450,1.0,236.0
61,Alabama,2020-05-14,8.451,11101,473,1.0,401.0
62,Alabama,2020-05-15,9.478,11373,483,1.0,272.0
63,Alabama,2020-05-16,8.529,11674,485,1.0,301.0
64,Alabama,2020-05-17,5.85,11771,488,1.0,97.0
65,Alabama,2020-05-18,8.206,12086,489,1.0,315.0
66,Alabama,2020-05-19,8.324,12376,504,1.0,290.0
67,Alabama,2020-05-20,9.386000000000001,13052,522,1.0,676.0
68,Alabama,2020-05-21,10.121,13414,529,1.0,362.0
69,Alabama,2020-05-22,11.027000000000001,13670,541,1.0,256.0
70,Alabama,2020-05-23,8.658,14149,549,1.0,479.0
71,Alabama,2020-05-24,7.191,14478,551,1.0,329.0
72,Alabama,2020-05-25,6.454,14986,566,1.0,508.0
73,Alabama,2020-05-26,8.732000000000001,15650,580,1.0,664.0
74,Alabama,2020-05-27,9.196,16032,583,1.0,382.0
75,Alabama,2020-05-28,9.564,16530,591,1.0,498.0
76,Alabama,2020-05-30,6.919,17359,618,2.0,829.0
77,Alabama,2020-05-31,6.622999999999999,17952,630,1.0,593.0
